SAl,SAz,DNI,DHI,GHI
21.28,110.9,83487,12852,56637
32.7,121.73,90908,14844,75303
42.65,135.86,92291,16800,86433
49.95,154.82,89030,19880,89234
52.95,178.42,81255,23099,83997
50.64,202.39,73831,22259,71388
43.81,222.06,67267,17885,55676
34.13,236.76,50735,13503,35426
22.87,247.95,26667,8237,15838
21.56,110.61,86453,12920,58804
33.01,121.44,93652,14808,77889
43,135.61,96752,15855,90173
50.33,154.69,97635,16147,94026
53.34,178.5,97061,15790,89631
50.98,202.69,93930,14681,77989
44.1,222.44,87491,12838,60926
34.36,237.15,74839,10208,39507
23.06,248.33,46869,6234,18297
21.85,110.31,84840,13262,58275
33.32,121.15,92668,14960,77055
43.35,135.36,95747,16114,89121
50.72,154.55,95875,16782,92936
53.73,178.59,94250,16802,88498
51.33,202.99,91268,15740,76882
44.38,222.83,85497,13610,60302
34.59,237.55,73149,10607,39402
23.25,248.71,45885,6368,18324
22.13,110.02,76892,16158,58736
33.63,120.86,81420,20591,74359
43.7,135.1,75959,26156,82057
51.11,154.42,72939,28172,83876
54.12,178.69,77176,25541,82739
51.68,203.29,82309,20153,74861
44.66,223.22,80219,15209,58762
34.82,237.94,68377,11288,38321
23.44,249.09,42111,6636,17603
23,109.12,80198,14121,59278
34.58,119.98,88114,16693,77775
44.76,134.33,90045,18383,87089
52.28,154.02,90322,18767,90577
55.31,179,91579,18019,89255
52.72,204.26,90216,16062,79017
45.49,224.43,84376,13442,61064
35.48,239.16,72293,10707,39989
23.99,250.25,45339,6707,18888
23.29,108.82,80079,15273,61083
34.9,119.69,91143,15849,79149
45.11,134.07,94993,16791,90699
52.67,153.88,95575,17106,94397
55.7,179.11,95255,16767,92038
53.06,204.6,86445,18356,79967
45.77,224.85,64611,22232,59587
35.7,239.57,40416,21008,36568
24.17,250.64,20094,12542,16272
23.58,108.52,35396,30571,49590
35.22,119.39,45519,34482,65907
45.47,133.81,54421,34810,76921
53.06,153.74,63029,32539,82281
56.1,179.23,70325,29009,82680
53.41,204.94,74799,24241,75241
46.04,225.27,75392,17849,60001
35.92,239.99,68175,12121,39642
24.35,251.03,44089,6957,19060
23.87,108.22,64675,20635,56352
35.53,119.09,72955,22942,72988
45.82,133.54,71285,26701,82468
53.45,153.6,61781,30546,81063
56.49,179.35,50363,32564,71551
53.75,205.29,37263,32185,58901
46.31,225.7,24284,28450,43747
36.13,240.41,12116,21209,27312
24.52,251.43,3336,10555,11807
24.16,107.92,82901,14208,62431
35.85,118.78,87988,16360,79126
46.18,133.27,88798,17739,87348
53.85,153.46,92098,17739,93045
56.89,179.47,94832,16866,92789
54.09,205.65,92578,15645,81734
46.58,226.13,86052,13843,63420
36.34,240.83,73856,11172,41934
24.7,251.83,46671,7031,20206
25.03,107,87387,14427,65724
36.8,117.87,93278,16372,83390
47.24,132.44,94486,17529,93143
55.03,153.03,95053,17780,97160
58.08,179.87,95843,17218,94941
55.11,206.77,94157,15985,83660
47.38,227.46,88173,14078,65342
36.97,242.11,75750,11368,43673
25.22,253.03,47938,7230,21246
25.32,106.7,87845,14507,66737
37.12,117.56,93204,16454,84508
47.6,132.16,94826,17675,93875
55.42,152.88,95767,18030,97446
58.47,180.01,96392,17563,95582
55.44,207.16,93880,16696,84428
47.64,227.91,85572,15625,65260
37.17,242.55,70397,13288,42944
25.39,253.43,42921,8503,20778
25.61,106.39,44272,26259,52944
37.43,117.24,69969,24791,74778
47.95,131.88,80692,23619,88101
55.81,152.73,76286,26502,90592
58.87,180.16,61443,30427,80689
55.78,207.55,37510,31569,59980
47.9,228.37,20826,26895,39850
37.38,242.98,22594,18359,25932
25.55,253.84,20501,9519,14435
25.9,106.08,7678,26434,31424
37.75,116.93,28264,33630,56235
48.3,131.59,55736,31002,78971
56.2,152.58,68831,27182,86025
59.26,180.3,64401,27269,78615
56.11,207.95,49128,27468,63601
48.15,228.83,33853,25307,45771
37.58,243.42,26256,20060,29981
25.72,254.24,14946,12559,15741
26.19,105.77,84712,15199,66325
38.06,116.61,85906,19399,82437
48.66,131.3,82503,22975,89855
56.6,152.43,78622,24830,90402
59.65,180.46,72018,27235,84201
56.44,208.36,63536,27565,71876
48.41,229.3,51697,23987,53909
37.77,243.86,34279,18849,32684
25.89,254.65,17319,11956,15158
27.05,104.84,54085,27775,60792
39,115.65,69500,27485,77664
49.7,130.41,76512,26553,88489
57.77,151.95,81991,24390,94012
60.83,180.94,84215,23120,92444
57.42,209.63,74610,25030,79747
49.15,230.72,56506,25720,59050
38.36,245.19,41529,21167,37468
26.37,255.87,26549,11909,19024
27.33,104.52,5543,26278,29446
39.3,115.33,9795,30949,38532
50.05,130.1,15400,33335,46263
58.15,151.79,14565,36103,48883
61.22,181.1,11665,39452,49445
57.74,210.06,13786,38083,48294
49.4,231.2,18420,31175,42319
38.55,245.64,20891,23516,32015
26.53,256.27,15366,14467,18096
27.61,104.21,83592,15004,67397
39.61,115,88254,16925,83981
50.39,129.79,89101,18344,93885
58.54,151.62,87841,19586,97417
61.6,181.28,78713,21915,88355
58.06,210.5,57571,25484,69435
49.64,231.69,33286,26012,47558
38.73,246.09,16295,19632,26928
26.69,256.68,8135,10989,12901
27.89,103.9,86002,15073,69325
39.92,114.67,90191,16995,85829
50.74,129.48,90328,18451,95793
58.93,151.45,90742,19121,100108
61.99,181.45,88459,20124,95004
58.38,210.95,72789,23397,78282
49.88,232.18,48603,24878,55251
38.92,246.54,35051,20310,34517
26.84,257.09,25696,11141,18042
28.17,103.58,72856,18297,65425
40.22,114.34,79453,20476,82452
